Customer ID,Tokens,Visits,Password
1020,26,1,#0201
1022,36,1,#2201
1182,19,1,#2811
1292,23,1,#2921
1313,46,1,#3131
1391,51,1,#1931
1437,8,1,#7341
1462,25,1,#2641
1504,65,1,#4051
1519,59,1,#9151
1552,48,1,#2551
1555,47,1,#5551
1615,71,1,#5161
1653,14,1,#3561
1660,47,1,#0661
1681,7,1,#1861
1723,26,1,#3271
1748,40,1,#8471
1755,31,1,#5571
1790,37,1,#0971
1835,59,1,#5381
1841,70,1,#1481
1932,38,1,#2391
2162,85,1,#2612
2211,50,1,#1122
2242,67,1,#2422
2245,48,1,#5422
2390,76,1,#0932
2404,58,1,#4042
2433,38,1,#3342
2444,47,1,#4442
2468,120,2,#8642
2497,34,1,#7942
2511,64,1,#1152
2570,13,1,#0752
2577,37,1,#7752
2588,32,1,#8852
2645,34,1,#5462
2654,66,1,#4562
2666,34,1,#6662
2680,19,1,#0862
3025,63,1,#5203
3032,50,1,#2303
3153,60,1,#3513
3209,56,1,#9023
3220,75,1,#0223
3277,18,1,#7723
3360,51,1,#0633
3375,41,1,#5733
3511,35,1,#1153
3597,56,1,#7953
3660,65,1,#0663
3696,30,1,#6963
3704,32,1,#4073
3711,44,1,#1173
3725,24,1,#5273
3855,31,1,#5583
3869,44,1,#9683
3957,44,1,#7593
3968,33,1,#8693
3969,24,1,#9693
3992,37,1,#2993
4013,26,1,#3104
4070,7,1,#0704
4142,94,1,#2414
4174,60,1,#4714
4189,11,1,#9814
4197,16,1,#7914
4225,50,1,#5224
4294,27,1,#4924
4432,39,1,#2344
4528,49,1,#8254
4564,5,1,#4654
4567,28,1,#7654
4570,27,1,#0754
4619,33,1,#9164
4738,68,1,#8374
4747,44,1,#7474
4934,37,1,#4394
4981,65,1,#1894
4986,31,1,#6894
5094,46,1,#4905
5129,12,1,#9215
5216,38,1,#6125
5218,33,1,#8125
5303,54,1,#3035
5315,25,1,#5135
5397,52,1,#7935
5402,70,1,#2045
5425,51,1,#5245
5430,75,1,#0345
5438,47,1,#8345
5456,38,1,#6545
5464,46,1,#4645
5561,48,1,#1655
5565,25,1,#5655
5622,455,10,#2265
5627,23,1,#7265
5654,33,1,#4565
5668,20,1,#8665
5768,49,1,#8675
5855,14,1,#5585
5898,62,1,#8985
5957,35,1,#7595
5960,16,1,#0695
6000,19,1,#0006
6024,97,1,#4206
6083,35,1,#3806
6116,22,1,#6116
6119,63,1,#9116
6177,52,1,#7716
6192,46,1,#2916
6202,13,1,#2026
6204,48,1,#4026
6241,21,1,#1426
6287,37,1,#7826
6343,55,1,#3436
6348,31,1,#8436
6366,46,1,#6636
6369,68,1,#9636
6550,11,1,#0556
6656,37,1,#6566
6688,18,1,#8866
6765,45,1,#5676
6817,62,1,#7186
6830,64,1,#0386
6983,31,1,#3896
7014,78,1,#4107
7083,36,1,#3807
7097,32,1,#7907
7100,36,1,#0017
7120,21,1,#0217
7171,46,1,#1717
7182,65,1,#2817
7312,56,1,#2137
7370,80,2,#0737
7409,40,1,#9047
7438,38,1,#8347
7548,48,1,#8457
7557,55,1,#7557
7575,46,1,#5757
7605,63,1,#5067
7624,15,1,#4267
7694,32,1,#4967
7706,46,1,#6077
7816,11,1,#6187
7825,27,1,#5287
7912,30,1,#2197
7971,51,1,#1797
8015,19,1,#5108
8032,22,1,#2308
8054,47,1,#4508
8157,89,2,#7518
8247,39,1,#7428
8248,39,1,#8428
8263,53,1,#3628
8266,20,1,#6628
8294,24,1,#4928
8421,59,1,#1248
8423,58,1,#3248
8642,58,1,#2468
8673,29,1,#3768
8738,89,1,#8378
8752,21,1,#2578
8766,23,1,#6678
8794,55,1,#4978
8873,23,1,#3788
8929,65,1,#9298
9006,19,1,#6009
9073,21,1,#3709
9077,100,1,#7709
9086,20,1,#6809
9167,47,1,#7619
9170,61,1,#0719
9178,50,1,#8719
9246,27,1,#6429
9249,10,1,#9429
9291,59,1,#1929
9338,34,1,#8339
9481,24,1,#1849
9586,29,1,#6859
9603,91,2,#3069
9611,19,1,#1169
9640,93,1,#0469
9651,41,1,#1569
9664,45,1,#4669
9710,19,1,#0179
9731,27,1,#1379
9744,33,1,#4479
9776,63,1,#6779
9785,15,1,#5879
9802,43,1,#2089
9804,39,1,#4089
9847,61,1,#7489
9877,41,1,#7789
9909,38,1,#9099
9980,62,1,#0899
2708,0,0,#8072
123,0,1,321
